article_name,article_name_encoded,article_id
Blue shark,Blue_shark,628
Bluegrass music,Bluegrass_music,629
Bluetooth,Bluetooth,630
Boa,Boa,631
Board game,Board_game,632
Boat,Boat,633
Bob Dylan,Bob_Dylan,634
Bob Marley,Bob_Marley,635
Bobcat,Bobcat,636
Body mass index,Body_mass_index,637
Bodyline,Bodyline,638
Boeing 747,Boeing_747,639
Bog,Bog,640
Bogotá,Bogot%C3%A1,641
Bohemian Rhapsody,Bohemian_Rhapsody,642
Bohor Reedbuck,Bohor_Reedbuck,643
Bohrium,Bohrium,644
Bolivia,Bolivia,645
Bologna,Bologna,646
Boltysh crater,Boltysh_crater,647
Bongo (antelope),Bongo_%28antelope%29,648
Bonobo,Bonobo,649
Bontebok,Bontebok,650
Booby,Booby,651
Book,Book,652
Book of Common Prayer,Book_of_Common_Prayer,653
Book of Kells,Book_of_Kells,654
Boolean logic,Boolean_logic,655
Borage,Borage,656
Boris Becker,Boris_Becker,657
Boron,Boron,658
Bosnia and Herzegovina,Bosnia_and_Herzegovina,659
"Boston, Massachusetts",Boston%2C_Massachusetts,660
Boston RFC,Boston_RFC,661
Boston Terrier,Boston_Terrier,662
Boston and Lowell Railroad,Boston_and_Lowell_Railroad,663
Botany,Botany,664
Botswana,Botswana,665
Bottlenose Dolphin,Bottlenose_Dolphin,666
Boudica,Boudica,667
Boundary Waters Canoe Area Wilderness,Boundary_Waters_Canoe_Area_Wilderness,668
Bourbonnais train accident,Bourbonnais_train_accident,669
Bouvet Island,Bouvet_Island,670
Box jellyfish,Box_jellyfish,671
Boy Scout,Boy_Scout,672
Boyle Roche,Boyle_Roche,673
Brabantian,Brabantian,674
Brabham,Brabham,675
Brachiosaurus,Brachiosaurus,676
Brahman,Brahman,677
Brain,Brain,678
Bran,Bran,679
Brandon Routh,Brandon_Routh,680
Brasília,Bras%C3%ADlia,681
Brass instrument,Brass_instrument,682
Bratislava,Bratislava,683
Brazil,Brazil,684
Bread,Bread,685
Breaker Morant,Breaker_Morant,686
Bretton Woods system,Bretton_Woods_system,687
Brian Close,Brian_Close,688
Bridge,Bridge,689
Brighton,Brighton,690
Brisbane,Brisbane,691
Bristol,Bristol,692
British East India Company,British_East_India_Company,693
British Empire,British_Empire,694
British English,British_English,695
British House of Commons,British_House_of_Commons,696
British Indian Ocean Territory,British_Indian_Ocean_Territory,697
British Isles,British_Isles,698
British Isles (terminology),British_Isles_%28terminology%29,699
British Virgin Islands,British_Virgin_Islands,700
British monarchy,British_monarchy,701
Britney Spears,Britney_Spears,702
Broadcasting,Broadcasting,703
Bromine,Bromine,704
Bronze Age,Bronze_Age,705
Brothers Grimm,Brothers_Grimm,706
Brown trout,Brown_trout,707
Bruce Lee,Bruce_Lee,708
Bruce Springsteen,Bruce_Springsteen,709
Brunei,Brunei,710
Brush,Brush,711
Brussels,Brussels,712
Brute force attack,Brute_force_attack,713
Bryce Canyon National Park,Bryce_Canyon_National_Park,714
Btrieve,Btrieve,715
Bucharest,Bucharest,716
Buckingham Palace,Buckingham_Palace,717
Buckminster Fuller,Buckminster_Fuller,718
Budapest,Budapest,719
Buddha,Buddha,720
Buddhism,Buddhism,721
Buddhist art,Buddhist_art,722
Buenos Aires,Buenos_Aires,723
Buffy the Vampire Slayer,Buffy_the_Vampire_Slayer,724
Bulgaria,Bulgaria,725
Bull shark,Bull_shark,726
Burkina Faso,Burkina_Faso,727
Burundi,Burundi,728
Bushbuck,Bushbuck,729
Bushpig,Bushpig,730
Business,Business,731
Butter,Butter,732
Button,Button,733
Byzantine Empire,Byzantine_Empire,734
C++,C%2B%2B,735
Cædmon,C%C3%A6dmon,736
Côte d'Ivoire,C%C3%B4te_d%27Ivoire,737
C. S. Lewis,C._S._Lewis,738
CF7,CF7,739
CPU cache,CPU_cache,740
CS gas,CS_gas,741
Cactus,Cactus,742
Cadmium,Cadmium,743
Caesar cipher,Caesar_cipher,744
Caesium,Caesium,745
Caesium fluoride,Caesium_fluoride,746
Cai Lun,Cai_Lun,747
Cairo,Cairo,748
Calcite,Calcite,749
Calcium,Calcium,750
Calcium chloride,Calcium_chloride,751
Calculus,Calculus,752
Calgary,Calgary,753
California,California,754
California Southern Railroad,California_Southern_Railroad,755
Californium,Californium,756
Calligraphy,Calligraphy,757
Caloris Basin,Caloris_Basin,758
Calvin Coolidge,Calvin_Coolidge,759
Calvin and Hobbes,Calvin_and_Hobbes,760
Camarasaurus,Camarasaurus,761
Cambodia,Cambodia,762
Cambrian,Cambrian,763
Cambrian explosion,Cambrian_explosion,764
Cambridge,Cambridge,765
Camel,Camel,766
Cameroon,Cameroon,767
Canada,Canada,768
Canada Goose,Canada_Goose,769
