node,in_degree,out_degree,pagerank,betweenness_centrality,closeness_centrality
Quantity,5,7,0.00010322304977513245,4.367509330282903e-06,0.30736408445523433
Shinto,8,13,0.00014909502495994171,3.7753860098787964e-05,0.35302070130967467
Graphic novel,9,11,0.00014031358331761327,4.28984865550319e-05,0.3438400131676405
Comics,9,17,0.00015972441682770528,0.000440266970224823,0.36565727288639943
Batman,13,11,0.00018423330217209804,0.00012349356191741718,0.34056080860776
Cambrian explosion,10,20,0.00018580936154725876,5.408287103350961e-05,0.33898580121703853
Precambrian,14,12,0.00021356166771394677,4.592434248458972e-05,0.33747980613893375
Bacteria,76,50,0.0009752171988310172,0.0016509437376321218,0.37336907953529935
Globalization,19,26,0.0002651833121872519,0.00041584955236374034,0.383021635496883
Mongol Empire,15,15,0.00020351654789802683,3.090664193812632e-05,0.33413307741522713
Celtic Park,3,4,9.307473022070551e-05,3.8993757324344785e-07,0.33051182659599715
Guitar,35,27,0.0003863820944641134,0.0003592573787048921,0.33838179314813316
Double bass,8,13,0.00012145733615469189,5.561518581171831e-05,0.30181319078234486
Python (programming language),2,7,7.118349667589908e-05,2.3371968854193698e-05,0.2999497451360471
IPod,14,22,0.00020030572544535208,0.00036670320986094846,0.37333571620051825
Hong Kong,48,40,0.0006522911157040679,0.0006496897614014009,0.3925953768088705
Mango,4,21,0.00010288979991445498,5.2224317578511184e-05,0.33631167994848266
Abstract art,4,7,8.990483013528579e-05,1.7522796442697467e-05,0.31160501193317425
Liberal democracy,17,33,0.00032121182952905727,0.00023394233280060227,0.4033986675678285
Property,21,30,0.0002969491311999575,0.00026672605206899284,0.384360625574977
John Locke,36,26,0.0005388537212256388,0.0009003029253624393,0.4064597723513961
Bristol,27,27,0.00036219374280738935,0.0004588365135535442,0.35457863022999236
FIFA,19,23,0.00032833544359187896,0.0001940945371348086,0.4141964905323684
Sarajevo,6,14,0.00013330085140227986,6.184836349010951e-05,0.3402003094210569
Siege,15,29,0.00018356167142879033,0.00015025860567926023,0.32242630035499303
Clothing,17,24,0.0002657558444311826,0.00014490094918191457,0.34293687925798244
Hymenoptera,7,10,0.00011820098489295994,1.2209491430917291e-05,0.27523056653491434
Hippocrates,18,16,0.00031134805361756034,0.00012808072695821642,0.35067987241900284
Poetry,53,37,0.0007108766336453463,0.0012645464965623065,0.37605760576057606
Rapping,12,13,0.00018725140438682935,0.00013315260279594436,0.37376990517087133
Sugar,52,44,0.000658993077355683,0.0011730952159677767,0.4140733399405352
Irrigation,44,33,0.0005769225148676635,0.0005613573226087451,0.3727361941297172
Sculpture,18,23,0.0002772873684449485,0.000227852188017507,0.34860241969128075
Sand art and play,4,9,8.334570770171016e-05,1.5658318125070752e-05,0.2992836676217765
Child,7,12,0.00011599887185023629,3.1326568842749236e-05,0.31242054886712034
Apple,26,41,0.00036994414134954907,0.0012735178780054553,0.40398375555985305
21st century,31,61,0.0004458658122495036,0.0022844728709670295,0.40281527188584654
Emotion,15,13,0.00021496239281034452,7.998900686007087e-05,0.33747980613893375
Botany,29,38,0.000415851220235882,0.0002530929232515913,0.35560473231764406
Venezuela,33,37,0.0004928560167491623,0.0004095820832465351,0.39485870900671016
Andy Warhol,14,14,0.000163380353112098,5.653658061526586e-05,0.32460570274259964
Arecaceae,10,19,0.00018685724571807557,9.239645295777146e-05,0.34825373009919147
Vincent van Gogh,15,23,0.0002253685982246486,0.00031881090946968754,0.34755843939772063
Sunflower,10,18,0.00013909475382163216,7.40180995730118e-05,0.3223516703958028
Jakarta,7,14,0.00013656212004116785,0.0001557645976318263,0.35642381846101345
Black pepper,9,17,9.94186435878001e-05,0.0003305871831493707,0.30308306129851287
Pollution,46,39,0.0006336816336874614,0.0008861345361094431,0.38190127970749543
Banana,29,37,0.0003732620504120552,0.00041269122403427596,0.35415783673815376
Utilitarianism,10,9,0.00017048004297911512,2.400325893557907e-05,0.3280980053400345
ASCII,9,6,0.00018059445998237935,4.95047746394349e-05,0.31632344033918836
Abacus,8,9,0.00017440068519482746,6.184459366075697e-05,0.3510039485843905
AT&T,8,12,0.00014710659208389898,0.00012279469179225382,0.3129822458611132
Markup language,5,8,0.00012032072995637295,0.00010403429012369219,0.2927205212639249
William Gilbert,6,11,0.000151015212907806,8.605969486828869e-05,0.35186120936499915
Holy Roman Empire,65,58,0.0008375066679270519,0.0019700591462434476,0.4184276414621933
Nazism,60,39,0.0007761930130448956,0.0007313783877078578,0.38499815702174717
Swastika,8,24,0.00015539498830680905,0.00015093095539458137,0.34506111661711264
John von Neumann,14,22,0.00022896443738207767,0.00044851907996227246,0.3445773195876289
Nazi Germany,77,53,0.0010351530595099653,0.001406103722149121,0.4048841942048648
Cryptography,16,26,0.00027307568810929465,0.000974548132659976,0.35385788091809944
The Holocaust,35,42,0.0005189940312535479,0.0007289813532768993,0.38110006385113565
Perl,10,9,0.000186732670980121,4.333751439991832e-05,0.3038987489089322
H.D.,4,9,8.781012073819631e-05,3.5716605373922495e-05,0.3688531826608987
9th century,33,33,0.0005100436838744284,0.0002154517782886809,0.3720060546701095
Madagascar,51,41,0.0006367626954384515,0.0010295418474308689,0.3768037518037518
Mauritius,14,16,0.00022865305687408145,0.0004493825911728534,0.3542779615025863
Koryaksky,2,5,6.019267255908421e-05,0.0002399884216839848,0.2957038714700262
Avacha Volcano,1,4,4.613604077893055e-05,3.3296211958904254e-07,0.22824364927615406
Natural gas,44,40,0.0006766237213519342,0.0008785047465994177,0.41826008609470416
Netherlands Antilles,11,19,0.0002320000738281914,5.363413931544406e-05,0.3918589382854999
Montreal,22,32,0.00030753413992536783,0.0005837056795011265,0.3583497727077794
National Hockey League,19,24,0.00029765457081121704,0.0001715969418221271,0.3795421511627907
HTTP cookie,5,8,0.00011013641556045046,0.0002560552598500035,0.3414514547237659
Elizabeth II of the United Kingdom,73,70,0.0008258776730995447,0.002693334925773477,0.387569573283859
Rhode Island,15,11,0.00025306655943667486,4.879942920750303e-05,0.3781679942070963
Industry,75,27,0.000974078140245153,0.0007411217645431633,0.38962976778886504
Parthenon,9,15,0.0001421614848461286,4.4794114642013234e-05,0.3321144674085851
Archimedes,10,15,0.00019991240322766353,4.706846517045026e-05,0.3364200016104356
Cleopatra VII,12,13,0.00021858753353409387,4.387830770515485e-05,0.35103343975802387
